"","CLFT001.rep1","CLFT001.rep2","CLFT001.rep3","CLFT023.rep1","CLFT023.rep2","CLFT023.rep3","CLFT026.rep1","CLFT026.rep2","CLFT026.rep3","CLFT044.rep1","CLFT044.rep2","CLFT044.rep3","JEL410.rep1","JEL410.rep2","JEL410.rep3","JEL422.rep1","JEL422.rep2","JEL422.rep3"
"BDET_00001",65.1977006670039,87.9335186611887,72.2496095570311,352.412759897894,432.572999560106,146.213271943701,108.654488446322,92.9837486141788,53.2441987616465,122.958337923303,101.336125016808,87.1700513377981,84.3622672194577,117.43053070014,89.7444331119681,99.4868347322542,122.022960387174,201.850515989644
"BDET_00002",0,0,0,0,0,0,6,0,2.17953128583704,0,0,0,0,0,0,0,1,1
"BDET_00003",0,2.09158580867168,3.05261391716823,0,0,0,0,1,0,3.54265603037699,0,0,0,0,0,0,0,0
"BDET_00004",6.81494338171639,11.376748915269,20.0815129589795,0,2.13729256210143,0,0,0,1.08926732466283,16.5991503656352,22.3866530032348,14.6866996190656,0,0,2.32984291172434,0,0,2.06670282424286
"BDET_00005",0,0,0,0,0,1.22729049612246e-07,0,0,0,0,0,0,1,9.65047172034871e-08,2.45715521437777,0,1,0.000104353332960037
"BDET_00006",0,2,0,1.10063854158541,0,1.12659285501617,0,0,0,0,1,0,2.18158634411388,0,4,0,0,1
"BDET_00007",51.7447441328033,78.5899818061444,95.382376458447,28.5767215476023,20.4361360284747,13.4024635554055,16.9068023782958,6.64578841259161,11.5461340970378,113.708910977304,79.7318032255778,135.534522265848,61.9409278398295,63.3882762181378,73.314327805353,0,3.37672570453354,2.17647519925946
"BDET_00008",4,6,3,10,9,1.99999987727095,11,2,11,18,5,17,0,3.99999990349528,2.54284478562223,1,0,1.99989564666704
"BDET_00009",178,336,429.772843644943,394,330,91,259.803698983911,130,168,493.639545555921,348.60099708635,546,278.995867729867,263,439,21,22,46
"BDET_00010",0,0,1,8,11,3,12,3,5,11,7,3,4,2,0,1,1,0
"BDET_00011",1492,2153,2845,1474,1357,701,571,209,437,1547,1389,1834,1247,1554,1694,135,249,399
"BDET_00012",2662,3676,4655,3132,2954,1634,1447,513,1184,3144,2720,4435,2311,2720,2945,243,324,665
