"","CLFT001.rep1","CLFT001.rep2","CLFT001.rep3","CLFT023.rep1","CLFT023.rep2","CLFT023.rep3","CLFT026.rep1","CLFT026.rep2","CLFT026.rep3","CLFT044.rep1","CLFT044.rep2","CLFT044.rep3","JEL410.rep1","JEL410.rep2","JEL410.rep3","JEL422.rep1","JEL422.rep2","JEL422.rep3"
"BDET_00013",285,408,656,554,394,292,281,150,221,611,678,990,474,488,615,15,28,40
"BDET_00014",390,652,995,773,643,407,516,156,312,829,834,1146,839,656,964,8,13,28
"BDET_00015",218,341,531,447,441,216,239,81,195,580,470,790,441,339,475,17,25,35
"BDET_00016",1108,1516,2054,1780,1647,813,930,413,694,1682,1387,2067,1430,1267,1869,60,113,219
"BDET_00017",3337,5108,7423,7623,8052,3910,4299,2214,2915,7474,6387,8302,6078,6619,7347,1705,2040,3326
"BDET_00018",605,1001,1445,1252,1061,584,497,247,437,1221,1061,1426,800,724,926,61,63,113
"BDET_00019",297,440,607,741,871,403,645,365,404,813,621,926,455,461,537,153,191,350
"BDET_00020",37,63,87,92,95,47,63,23,35,110,77,158,65,63,98,0,6,10
"BDET_00021",455,566,1011,190,205,178,450,166,197,248,216,291,351,492,443,152,251,390
"BDET_00022",2,3,8,0,0,0,1,0,1,2,1,1,2,3,2,1,1,1
"BDET_00023",1146,1750,2616,2119,2327,994,2238,1393,1220,2386,2158,2598,1995,2452,2677,824,833,1364
"BDET_00024",2300,3498,4852,5878,5116,2450,2873,1243,2248,5920,4737,7343,3859,3574,4696,184,247,473
"BDET_00025",5933,8293,13115,16979,27071,8996,18499,10946,9218,17829,15215,18194,13360,18869,18800,7052,7883,11771
"BDET_00026",37,46,82,21,33,23,33,17,17,55,40,69,36,32,34,1,2,16
"BDET_00027",109,172,283,201,161,107,147,72,95,139,110,164,112,114,171,28,40,53
"BDET_00028",9323,13848,20964,19630,25968,9293,20105,12764,10611,19942,16767,22128,15899,21869,21565,10979,13492,17801
"BDET_00029",692,886,1620,244,289,194,519,187,267,342,327,496,433,527,578,147,207,392
"BDET_00030",213,336,524,147,126,122,158,69,97,121,115,165,196,220,260,66,77,197
"BDET_00031",3721,5525,8902,8440,13547,5027,11361,6884,4605,7332,7001,6016,8241,13092,12365,5564,6027,9038
"BDET_00032",2980,4003,6594,11106,16822,6187,14092,10040,6971,9975,9182,8502,8280,11853,11543,6233,6647,9658
"BDET_00033",4490,6657,11145,13021,20594,7200,15107,9806,7836,16094,13773,14632,11667,15738,14940,5011,5365,8661
"BDET_00034",470,659,1155,1108,828,651,629,300,487,996,1061,1596,870,688,935,32,55,92
"BDET_00035",9,9,10,47,63,24,58,36,24,20,17,15,40,40,42,21,27,32
"BDET_00036",4478,5912,9616,12961,20419,6968,15639,10243,7448,12732,11125,11768,12425,17140,16054,9354,10777,14980
"BDET_00037",784,1058,1551,1427,1228,536,559,265,534,1458,1200,2003,789,795,1066,44,71,131
"BDET_00038",333,408,612,174,166,182,273,86,145,145,134,209,180,261,275,67,104,182
"BDET_00039",1253,1514,1826,4841,4316,2112,4018,1871,2656,3213,2083,5185,1654,2231,2372,269,335,625
"BDET_00040",5979,9992,13939,2323,2745,1782,782,259,835,3654,3447,5237,2069,2201,2267,182,189,527
"BDET_00041",4360,6211,9567,17560,14455,7729,12270,5619,8401,14754,11225,18193,10488,9790,11760,559,914,1564
"BDET_00042",2372,2902,4655,1873,1947,1325,4497,1509,1674,1830,1391,1826,3680,5976,5632,975,1583,2597
"BDET_00043",30,24,54,43,31,25,28,14,25,50,52,69,19,26,43,2,1,4
"BDET_00044",109,187,274,301,264,228,196,87,134,227,194,308,282,234,308,9,5,34
"BDET_00045",302,419,626,208,254,150,132,43,98,229,183,246,218,346,317,43,95,146
"BDET_00046",363.034028606927,495,744.082301474879,1032.12422999096,951.075519533742,609.063754320243,1059.35433134903,502.098468506878,708.139438516222,1291.1440877031,951.104941586903,1187.16027929784,800,769.082472678438,901.045737208451,65.1337876875785,92.0593346185798,151.053823882481
"BDET_00047",350,530,707,650,558,268,315,105,235,608,524,717,514,418,595,16,31,58
"BDET_00048",94,135,186,56,69,36,31,15,31,99,77,113,64,66,73,6,14,24
"BDET_00049",668,1160,1531,1119,1015,435,447,240,385,1088,980,1325,803,816,1141,75,82,167
"BDET_00050",264,328,583,544,572,298,428,283,282,588,465,687,486,441,541,113,115,181
"BDET_00051",3477,4484,6696,14528,11724,5904,10384,4814,7452,10438,7130,16297,5772,6579,7511,328,497,1054
"BDET_00052",1496,2422,3267,3266,2760,1096,1756,908,1386,3257,2736,3792,2264,2111,2968,149,166,342
"BDET_00053",1120,1902,2402,1497,1305,634,659,244,572,1800,1535,2299,1340,1256,1771,63,86,181
"BDET_00054",860,1721,2448,1791,1515,819,929,373,696,1604,1455,2165,1555,1318,1769,113,155,292
"BDET_00055",147,241,331,478,622,311,483,281,245,518,422,527,350,359,391,413,374,685
"BDET_00056",1454,2674,3357,2190,1816,846,810,382,607,1929,1679,2378,1403,1397,1693,76,124,234
"BDET_00057",2540,5140,5054,3071,2706,356,2122,1239,1587,4019,3292,4109,2942,2911,4244,240,365,411
"BDET_00058",1387,2726,3140,1938,1590,539,1041,609,781,1660,1577,1990,1623,1446,2320,111,183,295
"BDET_00059",479,711,1086,554,526,337,425,251,290,631,603,882,425,436,535,49,58,133
"BDET_00060",146,225,329,261,306,135,320,237,179,165,162,299,163,211,190,55,65,94
"BDET_00061",44.9295523117523,40.5187697917697,82.8929270764454,167.658021181023,182.310992126319,69.3934561972588,107.549508144692,130.452759523069,77.519147579485,112.221667153119,112.740657688331,144.433930114988,124.302712269565,201.606345310695,170.561112289309,121.627374251059,78.2193758849144,274.331774008619
"BDET_00062",33,59,48,18.2777777777778,21.5,8,15.75,5.5,7.6,49,30,56,0,15.75,12.3333333333333,2,0.5,5.33333333333333
"BDET_00063",1825,2635,4611,10648,18921,8664,9551,5145,3492,3447,3712,3756,10326,16653,13752,39510,35080,64368
"BDET_00064",162,289,408,283,223,202,299,115,217,232,214,317,259,251,339,17,38,60
"BDET_00065",627,844,1398,2151,2729,1065,1838,1202,952,2160,1938,2274,1684,2097,2103,911,899,1413
"BDET_00066",176,250,355,421,382,169,283,112,192,474,405,583,307,288,405,10,17,34
"BDET_00067",54,86,109,360,598,178,259,112,103,210,205,162,124,162,167,129,164,277
"BDET_00068",238,406,615,1413,2044,659,732,547,431,888,802,949,572,655,855,590,718,1053
"BDET_00069",66,106,161,259,404,128,225,151,91,307,271,255,220,228,207,240,242,423
"BDET_00070",587,740,1278,2193,3355,1304,1830,1028,968,2657,2285,2550,1430,2000,1741,1916,1764,2943
"BDET_00071",382,589,757,864,772,408,396,172,334,939,740,1137,570,509,653,24,26,63
"BDET_00072",4276,5743,7237,6483,5979,3092,3456,1362,2612,5983,4853,8117,4288,5286,6033,466,713,1483
"BDET_00073",456,560,957,139,131,138,374,138,151,127,117,154,238,285,309,76,137,238
"BDET_00074",105,211,319,259,221,200,173,57,111,255,181,325,181,139,215,16,29,71
"BDET_00075",127,211,342,183,201,129,130,46,110,249,224,334,181,156,193,30,23,65
"BDET_00076",15,34,47,43,43,32,9,8,16,37,40,43,34,29,26,5,5,14
"BDET_00077",323,432,770,581,499,223,337,134,259,745,568,841,488,359,500,24,27,48
"BDET_00078",58147,80458,122344,95622,87985,42479,48774,18570,37081,101527,81917,148111,72095,86814,97405,11256,17627,32569
"BDET_00079",93,136,216,235,195,91,186,59,122,183,146,207,134,132,142,6,11,19
"BDET_00080",116,303,397,3,4,1,3,2,5,176,178,205,8,5,8,2,0,9
"BDET_00081",345,518,726,201,208,130,80,23,64,321,308,453,206,237,253,14,30,43
"BDET_00082",886,1394,1962,1838,1499,692,747,290,644,1379,1155,1803,1107,974,1252,52,69,140
"BDET_00083",346,417,636,206,202,114,276,134,148,268,209,410,155,214,189,40,55,119
"BDET_00084",1941,3045,3826,2099,2005,1236,1471,667,969,1889,1621,2485,1687,1890,2142,316,360,705
"BDET_00085",136,235,334,355,322,148,167,59,119,383,281,411,214,214,270,5,23,37
"BDET_00086",639,945,1312,1478,1394,564,912,567,645,1073,905,1342,553,610,841,62,64,164
"BDET_00087",249,343,517,406,399,190,319,168,182,325,263,376,356,311,441,93,93,184
"BDET_00088",1223,1552,2427,430,548,295,581,208,366,1152,1377,2209,507,464,480,57,75,125
"BDET_00089",1174,1555,2343,2328,1916,1016,933,363,783,2338,2133,2876,1816,1739,2204,69,111,190
"BDET_00090",412,612,989,923,751,411,404,172,328,966,686,1212,610,568,806,32,37,58
"BDET_00091",6611,9907,11464,15821,12957,6137,9310,4092,6787,14398,10376,19686,7137,7420,9685,351,591,1111
"BDET_00092",3670.77424860977,5703.57744975207,8446.62426259739,3044.9907552284,2812.79995551843,1347.69830365516,1107.20377543977,375.984104571571,933.863260478194,7633.7181675986,6554.12073899707,10293.6314913792,3248.39973093765,3051.59375676018,3848.86524008372,158.150297870632,268.862406817469,484.866998379266
"BDET_00093",762,1167,1881,938,942,404,478,250,375,1068,957,1242,1091,991,1240,61,83,178
"BDET_00094",249,374,566,388,336,170,227,86,152,586,495,793,254,276,351,12,14,20
"BDET_00095",383,449,550,606,496,314,297,125,286,929,566,1184,491,554,699,22,29,63
"BDET_00096",1037,1518,2068,1968,1772,914,1124,434,817,1934,1560,2518,1436,1359,1679,71,96,189
"BDET_00097",12404,20156,19682,7160,5517,1018,3653,1794,3136,10276,8519,13546,9119,8914,11152,264,439,724
"BDET_00098",104,183,251,194,159,64,116,42,75,331,252,394,124,109,146,3,20,24
"BDET_00099",318,521,702,538,487,266,327,113,217,1023,942,1271,368,321,449,16,33,33
"BDET_00100",378,925,1152,468,444,310,327,111,228,494,505,828,528,572,731,50,65,180
"BDET_00101",729,941,1203,929,914,394,401,169,331,1197,1062,1501,761,780,975,36,64,134
"BDET_00102",1196,1445,2377,4194,5822,2364,5966,3809,3073,4511,3976,4065,3727,5229,5180,1698,1846,3048
"BDET_00103",177,275,362,261,290,166,374,229,231,490,410,546,234,225,245,62,50,152
"BDET_00104",1515,2023,2635,2847,2638,1139,1614,752,1373,3063,2341,3804,1455,1560,2019,72,123,255
"BDET_00105",110,157,246,171,156,77,112,42,92,142,135,193,170,153,205,9,33,43
"BDET_00106",691,1038,1411,1207,1081,532,589,260,454,1190,1027,1350,967,873,1215,78,143,248
"BDET_00107",216,325,496,460,402,239,216,95,162,503,417,598,378,327,457,22,46,78
"BDET_00108",444,583,872,1175,1131,522,743,405,464,862,753,918,552,569,696,209,205,381
"BDET_00109",457,613,942,621,711,316,508,315,284,748,701,811,640,612,738,471,555,838
"BDET_00110",488.264459797376,725.605907375259,981.932448430035,1294.59687952296,1169.92016302557,530.928628656316,700.287783969431,378.823301810844,502.201026126385,921.370281706069,743.782422877027,1160.39402867195,1055.83710227724,961.335718820165,1259.088947874,103.695408279418,176.173374235262,257.170022998559
"BDET_00111",2000,2683,4444,2820,2436,1292,957,430,881,3563,3231,4259,2856,2466,3323,125,208,272
"BDET_00112",2139,3278,5061,1157,1138,592,790,471,529,1753,1666,2348,1198,1037,1409,157,136,312
"BDET_00113",2500,4339,5765,3206,3020,1513,1426,562,1202,3486,3031,4477,2974,2780,3395,183,353,589
"BDET_00114",57.4563106796117,66.1374045801527,133.064220183486,46.8041237113402,38.5089285714286,12.0212765957447,36.952380952381,21.4634146341463,13.7254901960784,88.6666666666667,100.108333333333,114.119205298013,93.4352941176471,110.853658536585,134.0625,16.5789473684211,12.4444444444444,15.3461538461538
"BDET_00115",560.664498206539,832.321119233129,1249.67579534728,595.569797935237,553.58613580185,294.232222484673,373.789258508948,191.679758222223,284.224540197327,729.737748847038,697.794346574762,927.627145284009,599.527411181408,644.75177405999,777.194855674524,98.5865132352981,129.037129881141,179.183842190274
"BDET_00116",847.413456393232,1394.32865432269,2120.06790372491,175.53279771995,202.801532222926,142.12132114963,166.095004791458,60.6406312552338,131.539165742124,534.11534236456,599.780797706687,699.681081088925,442.568865116999,502.341655143414,469.973432181969,104.942043440118,141.555975538263,270.143897371239
"BDET_00117",49.4,44.2285714285714,88.9166666666667,5.74736842105263,0,3.5,0,3,0,33.4193548387097,42.1666666666667,34.6,66.7586206896552,74.5434782608696,72.4444444444445,1,0,9.28571428571429
"BDET_00118",640,870,1319,1049,1254,550,976,609,524,1162,990,1213,752,849,905,369,556,894
"BDET_00119",367,493,848,1033,1605,712,1071,739,551,475,452,536,734,1029,935,815,701,1544
"BDET_00120",587,868,1368,987,865,418,384,164,305,1118,947,1395,872,706,971,31,45,80
"BDET_00121",420,712,1036,850,751,386,354,158,282,947,772,1086,626,546,776,30,39,72
"BDET_00122",242,330,527,624,557,293,230,97,200,633,465,757,502,424,637,23,32,90
"BDET_00123",212,260,468,453,404,208,176,79,155,502,398,695,450,433,566,17,15,37
"BDET_00124",317,519,787,149,131,107,188,78,114,374,282,420,309,325,329,76,107,194
"BDET_00125",535,721,861,787,679,364,362,161,287,729,576,1011,470,498,559,40,56,129
"BDET_00126",457,709,1066,293,281,231,390,135,181,294,283,449,326,447,464,132,214,369
"BDET_00127",9743,12497,20123,19260,26069,10161,20216,13320,11007,21211,18492,23099,16057,20420,19828,9327,9559,15834
"BDET_00128",358,560,902,778,695,363,407,156,322,881,695,999,727,656,789,26,44,68
"BDET_00129",362,676,938,711,514,296,275,119,221,559,591,755,406,402,502,34,32,81
"BDET_00130",118,220,324,237,201,95,92,57,80,201,198,310,174,170,178,18,22,16
"BDET_00131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDET_00132",496,603,955,1960,2849,1119,1631,1107,787,2147,1778,2106,1313,2010,1940,1178,1147,1944
"BDET_00133",123,202,283,224,220,138,127,68,128,220,185,284,201,192,259,6,15,24
"BDET_00134",1191,1918,2883,1560,1547,768,2546,1456,1495,2300,2281,3218,2101,1733,2366,242,320,510
"BDET_00135",85,125,180,227,235,111,112,71,78,139,117,144,92,91,112,12,16,41
"BDET_00136",397,625,939,332,306,240,1159,428,379,176,140,265,132,273,257,222,301,527
"BDET_00137",339,494,661,486,453,219,187,66,160,512,407,628,420,425,477,34,64,121
"BDET_00138",640,918,1363,1707,2291,998,1651,1122,919,1150,1036,1232,711,885,972,365,430,716
"BDET_00139",525,589,800,842,859,406,470,265,350,829,695,1195,354,513,515,217,235,441
"BDET_00140",136,184,259,214,196,101,117,55,82,163,144,280,109,116,152,13,23,32
"BDET_00141",1116,1711,2741,3606,5731,2071,4471,2652,1955,5758,5190,4748,3466,5187,5007,2395,2873,3866
"BDET_00142",212,372,525,441,361,187,284,106,238,407,354,556,322,300,420,15,21,42
"BDET_00143",897,1304,2050,2223,1989,947,933,389,778,2101,1722,2508,1549,1391,1906,61,67,157
"BDET_00144",793,1133,1948,1433,1420,728,1622,815,897,1538,1342,1883,1186,1171,1325,460,655,1044
"BDET_00145",1514,2449,3666,3956,3226,1761,2171,839,1564,4851,3922,5526,3030,2861,3730,71,119,229
"BDET_00146",1105,1871,2526,1729,1507,848,765,305,594,1667,1500,2109,1755,1473,2208,88,144,258
"BDET_00147",1318,2068,3032,2718,2145,1129,1627,830,1068,2232,1786,2752,1549,1579,2026,159,263,497
"BDET_00148",293,370,699,2175,3763,1322,1994,1412,948,1322,1073,1034,1273,2253,1998,1575,1470,2247
"BDET_00149",531,786,1080,1074,930,478.547809398968,475.545077766829,226,376,993,732,1269,765,605.532651930738,782,25.2842260176622,26,70
"BDET_00150",111,143,258,251,231,135,146,73,109,305,230,343,189,138,249,7,8,16
"BDET_00151",520,621,1008,1953,2992,1158,1517,1081,806,1256,1096,1384,1136,1817,1597,2105,1662,3190
"BDET_00152",2974.07956918147,4360.45114210106,6230.23082995265,2563.93329431714,2584.18271835192,1315.66216010325,1356.46306310182,559.947630248519,1099.66325982636,3164.21225443998,2922.84515702023,4246.10254238822,2810.79907054775,2703.0747983553,3260.77181400454,548.87297042133,745.115486479657,1317.78776715836
"BDET_00153",262.810133196008,565.582559862265,683.533112584582,282.574124776648,206.694458991669,106.281799131336,296.408316635672,95.0053852832442,149.155933062049,477.831157439141,309.703361197309,410.830883627786,216.449618409886,183.10213523677,205.28918210129,27.183785139099,59.3186595648813,78.9017072654099
"BDET_00154",281.110297622523,470.966298036679,681.23605746277,522.492580906215,398.122822656413,193.056040765412,243.128620262507,100.046984468236,186.180807111591,523.956588120881,438.451481782466,709.066573983991,355.751311042362,325.823066407929,453.939003894169,6.94324443957106,35.5658539554617,43.3105255762338
"BDET_00155",11870,20148,24051,13881,12117,4121,6530,3445,4942,14852,12108,17821,9766,8491,11619,975,1297,2110
"BDET_00156",114,178,284,266,240,114,255,79,166,356,271,403,180,180,220,8,16,32
"BDET_00157",486,875,1265,1640,1890,830,1258,730,769,1829,1604,1753,1303,1174,1536,787,913,1330
"BDET_00158",185,237,343,461,533,241,372,231,233,497,394,496,370,329,394,216,258,395
"BDET_00159",375,494,818,1134,1739,674,1387,845,718,1006,1013,848,1196,1419,1459,849,871,1376
"BDET_00160",60,94,169,20,21,15,29,6,9,31,32,35,39,56,62,14,22,36
"BDET_00161",85,138,196,253,203,114,98,43,77,178,191,232,139,128,166,9,7,21
"BDET_00162",1632,2743,3872,1404,1651,839,1023,622,733,1768,1590,2305,1895,1740,1865,257,361,715
"BDET_00163",418,648,924,586,498,237,180,75,148,840,669,1006,336,325,453,16,29,45
"BDET_00164",539,873,1187,659,593,264,256,149,251,569,516,753,532,589,824,46,72,121
"BDET_00165",227,286,413,540,447,276,437,190,305,594,487,720,467,402,549,31,48,69
"BDET_00166",121,195,232,202,184,80,132,59,96,255,215,284,142,136,228,9,25,21
"BDET_00167",135,133,211,104,81,37,60,21,48,210,181,232,135,123,150,5,15,22
"BDET_00168",551,1044,1473,875,732,421,391,157,309,883,843,1193,641,574,893,29,38,77
"BDET_00169",1166,1762,2283,2386,2154,1094,1144,433,928,2409,1878,3107,1686,1584,1975,84,119,218
"BDET_00170",286,416,623,523,454,206,281,128,213,667,540,786,355,346,458,11,17,44
"BDET_00171",722,1171,1730,1205,1086,622,712,307,577,1355,1180,1685,1113,983,1333,91,136,231
"BDET_00172",375,608,781,535,538,258,276,92,189,590,464,702,508,423,591,12,25,68
"BDET_00173",2685,4225,6206,2383,2363,1123,1419,559,1049,2693,2504,3422,2618,2576,3069,335,543,919
"BDET_00174",1334,2296,3290,2086.1981256802,1769,984,941,381,749,1821,1722,2562,1785,1582,2072,100,166,323
"BDET_00175",94,97,168,270,287,156,596,403,299,148,151,152,114,130,133,83,87,136
"BDET_00176",1554,2442,3859,3140,5477,1988,9186,5310,4010,5792,5203,4177,4835,7551,7556,3238,3532,5296
"BDET_00177",0,6,6,3,6,1,17,11,6,2,6,17,3,6,5,3,5,2
"BDET_00178",350,570,854,517,434,284,549,279,341,646,677,1078,554,518,753,58,70,134
"BDET_00179",460,772,1169,221,267,181,266,112,132,298,280,388,419,527,523,157,223,408
"BDET_00180",582,968,1604,2708,4592,1434,3302,2353,1639,1795,1925,1604,1723,2259,2308,1173,1069,1861
"BDET_00181",7,15,15,8,11,5,5,5,4,2,5,4,5,5,6,2,4,2
"BDET_00182",858,1432,2242,2991,2334,1071,1429,723,1147,2623,2156,3658,2089,1741,2307,82,118,242
"BDET_00183",252,512,703,876,771,370,482,213,379,894,699,1213,906,750,935,36,33,65
"BDET_00184",1057,1811,2683,1096,1072,563,307,109,303,1477,1163,1855,1118,1024,1261,89,145,279
"BDET_00185",760,1106,1510,1594,1417,724,686,252,601,1961,1578,2792,979,1029,1324,42,58,107
"BDET_00186",3645,4408,7611.25823778692,12835,19491.2365694037,7546,13971.4840952839,8950,7299,13332.6686796068,11974,11753,12928,19331,17939,8653.37141048985,9247,14193
"BDET_00187",433,653,1051,195,191,146,230,82,102,341,359,377,481,569,568,103,153,293
"BDET_00188",470,631,1069,1694,2634,958,1466,966,819,1530,1227,1350,1539,1897,1789,831,863,1337
"BDET_00189",270,413,665,398,353,183,122,49,127,483,407,606,348,320,402,26,31,48
"BDET_00190",127,223,271,56,61,50,65,18,27,91,83,143,134,150,156,33,39,99
"BDET_00191",0,0,0,4,2,4,4,4,2,2,3,2,1,2,0,0,2,1
"BDET_00192",934,1388,2124,643,633,328,485,167,319,1025,892,1277,777,724,929,83,120,248
"BDET_00193",652,866,1344,1531,1328,674,862,312,628,1530,1310,2005,1166,1211,1522,105,143,280
"BDET_00194",509,701,1276,1244,1027,527,569,274,480,1444,1141,1797,1235,940,1351,79,119,193
"BDET_00195",594,853,1136,1447,1368,679,675,239,527,1505,1265,1755,903,1045,1227,41,63,139
"BDET_00196",143,199,218,294,261,126,175,71,143,310,214,372,168,189,259,7,16,35
"BDET_00197",3939,6057,9540,7209,7504,3262,3064,1582,2329,8094,7191,9953,5952,6477,7176,1299,1360,2338
"BDET_00198",200,365,601,74,100,55,91,37,61,137,173,185,254,247,261,32,86,153
"BDET_00199",1096,1941,2904,2531,2270,1206,1487,777,1076,2141,1911,2785,1972,1699,2238,165,183,397
"BDET_00200",204,383,475,558,506,297,405,161,280,542,419,615,431,382,524,11,15,50
"BDET_00201",383,554,802,952,861,425,497,209,396,945,641,1171,635,611,745,28,38,71
"BDET_00202",1041.16167323856,1203.83537305289,1818.03285199314,1878.48982271491,1463.27922915298,794.300371096512,1059.47595528798,396.657102493746,827.669753323457,1965.09054963131,1765.80752429974,2117.53277851193,1362.10625499913,1508.44821550969,1854.98627735698,117.304397016176,86.8135411549367,255.889189818092
"BDET_00203",716.838326761443,1348.16462694711,1947.96714800686,1598.51017728509,1488.72077084702,676.699628903488,899.52404471202,415.342897506254,727.330246676543,1274.90945036869,1031.19247570026,1954.46722148807,1297.89374500087,906.551784490307,1292.01372264302,43.6956029838235,107.186458845063,193.110810181908
"BDET_00204",14703,21280,31850,37146,30819.1860964917,15419,16708,7273,12695.1732929446,37973,31757,49873,24995,23439,29822,1571,2476,4278
"BDET_00205",1417,2258,3266,1911,1768,826,1067,373,815,2261,1927,2875,1764,1619,1960,103,197,383
"BDET_00206",1583,2477,3668,1057,1138,759,587,225,555,1925,2088,2947,870,921,895,82,133,223
"BDET_00207",2141,3109,4620,3696,3107,1594,1597,656,1395,3519,2998,4463,3071,2721,3559,145,193,346
"BDET_00208",301,431,640,513,471,236,335,161,238,572,472,760,462,386,490,22,23,67
"BDET_00209",632,1117,1679,993,965,509,381,142,271,1113,1050,1277,966,925,1162,50,71,119
"BDET_00210",1311,2230,3312,557,630,422,510,210,302,909,835,1191,1101,1116,1172,265,441,767
"BDET_00211",168,357,522,454,376,195,228,102,168,562,542,814,403,358,404,11,17,25
"BDET_00212",444,772,1105,955,722,406,462,213,376,1024,970,1543,821,747,991,31,40,88
"BDET_00213",710,1022,1582,2085,2813,1196,1515,1043,816,1799,1617,1726,1632,1968,2110,661,769,1051
"BDET_00214",211,221,407,763,1042,387,611,171,318,177,122,149,92,86,56,20,25,52
"BDET_00215",162,259,383,221,204,148,80,21,82,333,258,395,261,228,301,11,9,32
"BDET_00216",58,143,176,108,113,59,42,15,37,164,121,197,166,119,175,4,2,11
"BDET_00217",328,321,510,354,306,184,141,58,129,375,292,455,347,338,393,19,45,67
"BDET_00218",272,402,478,397,417,200,209,112,171,358,336,463,232,255,321,95,76,181
"BDET_00219",346,456,657,1270,1436,690,1061,623,693,1076,872,1145,666,770,788,323,406,606
"BDET_00220",1998,3013,4236,1995,2002,874,835,312,752,2774,2353,3568,1983,1904,2323,132,183,344
"BDET_00221",411,581,905,175,185,149,190,70,106,209,211,281,309,397,397,90,136,298
"BDET_00222",16148,23164,32774,49780,41481,20222,26571,11415,19816,42830,32854,62999,28224,29071,35716,1183,1777,2960
"BDET_00223",134,271,343,517,461,209,299,124,238,455,343,533,323,332,403,15,23,38
"BDET_00224",445,613,956,1161,1097,577,503,185,372,1356,1042,1753,915,918,1317,13,26,64
"BDET_00225",483,762,1094,1353,1238,613,820,372,621,1261,1021,1533,813,755,1059,43,72,148
"BDET_00226",94,143,210,221,212,69,117,46,108,210,161,268,140,137,184,1,6,5
"BDET_00227",33,58,96,128,114,41,86,27,52,121,90,124,64,80,112,1,4,5
"BDET_00228",2293,3562,5298,6415,6343,2843,4305,2505,2969,6531,5496,8465,4599,4263,5492,1065,1294,2150
"BDET_00229",2,3,9,6,2,2,1,0,1,7,2,3,3,2,4,0,0,0
"BDET_00230",81,165,238,133,128,79,105,44,72,212,188,271,139,147,205,6,20,18
"BDET_00231",76,69,102,71,66,28,60,15,35,117,102,134,98,87,134,5,6,25
"BDET_00232",346,497,855,431,418,242,331,108,250,507,403,586,498,461,536,60,82,163
"BDET_00233",1631,2287,3577,10686,16501,5665,20576,11502,9285,9477,7584,8217,7506,12071,11349,5908,7675,8525
"BDET_00234",171,184,305,433,470,250,204,82,146,338,234,357,275,329,272,28,37,66
"BDET_00235",5429,7919,11201,8244,7052,3516,3610,1536,2673,9241,8334,11714,6814,6641,8398,396,619,1053
"BDET_00236",211,291,482,97,75,56,93,25,52,94,95,123,138,168,178,41,43,121
"BDET_00237",114,162,212,133,121,48,51,19,62,115,89,123,124,98,145,4,6,21
"BDET_00238",496,854,1219,543,474,328,298,147,223,598,514,745,609,608,742,68,94,203
"BDET_00239",216,273,424,358,389,243,476,235,284,435,359,456,326,321,352,114,143,208
"BDET_00240",270,354,518,155,160,99,70,23,66,247,293,273,246,231,303,18,27,49
"BDET_00241",472,797,1089,365,363,183,147,51,147,497,502,629,532,480,591,34,48,87
"BDET_00242",432,617,852,786,761,337,501,320,380,894,797,1160,555,566,780,88,88,211
