"","CLFT001.rep1","CLFT001.rep2","CLFT001.rep3","CLFT023.rep1","CLFT023.rep2","CLFT023.rep3","CLFT026.rep1","CLFT026.rep2","CLFT026.rep3","CLFT044.rep1","CLFT044.rep2","CLFT044.rep3","JEL410.rep1","JEL410.rep2","JEL410.rep3","JEL422.rep1","JEL422.rep2","JEL422.rep3"
"BDET_00001",3.85814073233715,3.58393085122037,2.04059688552493,10.3567145376084,11.3471189902561,8.98438916623322,4.12134885372617,6.58696326548241,3.49045443116801,3.49446179218754,3.3987644865578,2.17284552793929,3.18418868768744,3.5135621530354,2.52938689815566,9.36515969258908,10.2383725318524,10.8130112094961
"BDET_00002",0,0,0,0,0,0,0.313322154004055,0,0.197218236094013,0,0,0,0,0,0,0,0.115460174961597,0.0734432116438545
"BDET_00003",0,0.969554905877456,1.003014409241,0,0,0,0,0.835364513444719,0,1.20266227216267,0,0,0,0,0,0,0,0
"BDET_00004",0.236873983848277,0.27085806816186,0.330333596483509,0,0.0328694681742468,0,0,0,0.0423339742513184,0.278058275659223,0.441562082998658,0.214510836417572,0,0,0.0388551880803544,0,0,0.0657660594472467
"BDET_00005",0,0,0,0,0,1.57825088318202e-08,0,0,0,0,0,0,0.0778582489020685,6.10271284778952e-09,0.145673633979194,0,0.185818127176791,1.20331284197895e-05
"BDET_00006",0,0.161052436296996,0,0.064170731133029,0,0.136827447890458,0,0,0,0,0.0627779580738902,0,0.154481123552211,0,0.210578664466075,0,0,0.106102840263797
"BDET_00007",2.38450016684911,2.48124744689419,2.09222531263589,0.657089713794188,0.4184944156694,0.644026626131238,0.503250080165244,0.370638101514383,0.595805718666418,2.5448069707355,2.09910608563735,2.64077641493136,1.83822858852327,1.5002058809814,1.62723288897769,0,0.228072561550301,0.0917115986295023
"BDET_00008",0.505435965743016,0.513923451234941,0.175854967758995,0.624961715828981,0.505958814801326,0.26200426205062,0.899535031496491,0.304848295135237,1.55212632149272,1.09160183091199,0.356671995978106,0.891021381940704,0,0.258318541133714,0.154240127866827,0.208504168124352,0,0.235002640245114
"BDET_00009",12.6976601629211,16.5534280433661,14.6278879353821,14.0036865314456,10.4691130841903,6.76232124741287,12.0548559717788,11.3044348057292,13.4650098035441,16.946575551713,14.1072416458079,16.329223608537,12.7262901551797,9.53694976571875,14.957173276765,2.46058965048779,2.31097949404253,3.02964059035252
"BDET_00010",0,0,0.0649434283419592,0.553975231619764,0.674428807319611,0.433627070636972,1.06907018553284,0.498837549593233,0.77612046936737,0.710149804372104,0.529960776816839,0.178260417357125,0.345394555374561,0.134829338798344,0,0.216030395507059,0.19001845231649,0
"BDET_00011",106.236771759062,105.819296627721,95.6467028761737,51.8811565677988,42.4914529744694,51.6386028090405,26.0073050409139,17.8344808294316,34.6016732920316,52.6779336411148,55.6368793471933,54.6934506636697,56.4988216647592,55.6942169025722,57.0562448936368,15.3935452504073,25.3649929652475,25.7767305433638
"BDET_00012",509.605865087697,479.123325497049,433.684975103079,298.751684571398,250.525135947971,324.384495581209,178.392811961715,119.303009780779,253.924828076439,296.283574719766,303.927027909985,355.060028877651,289.591163851357,273.244061866768,277.781393100568,76.4196520773163,91.945195617786,116.997593677821
"BDET_00013",19.1670874406041,18.7951982844408,21.1042313315692,18.8274222211412,11.8882248054103,20.7382281994072,12.2666692352989,12.282913370198,16.7916822643142,20.0101039395063,26.2053530817729,28.4912801362413,20.6510505788349,16.8870458666112,20.0289974566979,1.63133394829271,2.7035377625673,2.4712221872394
"BDET_00014",11.9630724853326,13.6372049771107,14.9346844954402,12.0644244651695,8.95012850131497,13.2933707832603,10.3808567877412,5.90237258930967,10.8577547687061,12.8838175339886,15.3627888558037,15.0637676248187,17.1894880070674,10.865837942022,14.8939342415303,0.408125625120685,0.592972113051323,0.800184386827339
"BDET_00015",22.1790479223855,23.7213416463136,26.3093706296347,23.0777535332274,20.2371053301758,23.2664283629823,15.8851120904673,10.0885575539658,22.4567673576495,29.4547069643627,28.1555286289034,34.3338249598067,29.4853777426778,18.2214891787396,23.8626013625607,2.83992498024382,3.70120979145789,3.29549509853604
"BDET_00016",660.266740513022,617.624677942017,593.149882803801,536.443009484182,442.679887961102,514.366323885237,362.517283955259,303.217869156644,468.398048480904,501.844777561093,488.803464629011,526.340266982984,562.960742829313,403.525409140609,554.580903606361,60.2618349340082,100.689136602362,123.186381434234
"BDET_00017",108.183372337252,113.233222313701,116.26816586413,124.989807116015,117.421210999531,134.231047279844,90.8213521128218,87.9108019785939,107.03272989535,120.829811952226,121.725045254089,114.979006373893,129.285083588536,113.014205723534,117.663991081022,90.7289246089957,96.6193681590249,99.8112395532286
